ID,Zip,BirthMonth,TotalSales,TotalSavings,TotalVisits,LastVisit,ReferralCode
545580,49464-8364,,3239.7500,433.1300,33,2020-04-23 10:49:00, 
545615,35243,,190.1800,6.7500,6,2019-07-20 14:03:07, 
545851,35223,,340.1100,3.0000,7,2016-12-19 14:05:15, 
545859,35802-3134,,5477.5400,24.0000,27,2018-11-29 09:44:24.963000,
545876,32344-6100,,6941.7200,554.0400,38,2009-10-06 13:51:39.190000,
545878,39465-4109,,386.3400,60.4000,10,2010-07-30 16:26:33.570000,
545879,38004-7389,,252.9200,0.0200,8,2006-09-16 11:51:00, 
545880,35758-8520,,433.5700,22.7278,8,2009-01-16 14:29:51, 
545886,35205-2018,,193.1200,6.6200,12,2009-10-03 17:52:14.247000,
545895,33556-5202,,4149.1600,89.2000,18,2010-05-06 11:02:46.647000,
545900,35806-1272,,2113.2600,108.6100,13,2019-10-28 16:07:10.163000, 
545903,35806-1183,,296.6200,0.0200,8,2008-11-29 17:28:37,
545924,36541-6324,,21860.8600,1861.1000,370,2011-10-11 13:59:53.677000,
545936,36572-2860,,14959.0200,3735.0200,126,2011-01-24 14:24:59.803000,
545939,35758-7205,,3876.2600,233.6400,54,2012-01-27 19:00:42.880000,
545941,640145966,,1792.5200,143.9400,16,2010-08-29 14:46:23.947000,Friend
545945,30540,,721.2500,81.4000,19,2008-04-02 15:26:27, 
545971,35640-3011,,483.1000,19.5300,7,2008-07-27 15:46:00,Internet
545979,32547-6875,,219.9400,0.0000,6,2009-06-11 16:21:37.370000,Catalog
545981,35096-6333,,2363.6000,51.8200,14,2009-02-17 10:59:00,Internet
545987,35802-3648,,7731.1600,1238.6000,66,2019-06-10 15:20:37.810000,
545989,61761-5475,,5497.5800,2504.4000,28,2013-06-08 18:07:44.927000,
545999,39455-7635,,1099.9000,150.0000,8,2010-02-12 17:27:26.277000,Friend
546005,36853,,3542.8200,269.8200,14,2013-07-26 18:20:17,Friend
546010,35803-2017,,4491.3600,330.6400,14,2010-07-28 11:46:11.360000,Catalog
546012,35173,,1990.6500,132.6200,34,2017-10-23 13:52:36,Competitor Referral
546027,36567,,1964.3700,157.3700,8,2017-11-11 13:20:30.590000,Catalog
546041,35763,,8439.0300,518.7700,32,2019-02-10 12:54:33,Friend
546070,35215,,345.2600,1.2500,24,2013-09-11 14:01:22,Friend
546078,35243,,209.5110,18.3200,20,2015-12-11 13:33:20, 
546107,36078,,2339.5800,61.5300,39,2013-10-12 16:39:36.260000,Friend
546110,33956,,1768.2600,533.6600,11,2019-02-05 12:35:17.790000, 
546114,31087-4607,,1805.5000,187.4200,36,2013-10-23 12:00:54.017000,
546153,35085,,1292.0100,22.7800,14,2020-03-20 13:46:03,
546157,35673-6507,,8626.4000,1481.8800,56,2013-11-06 15:45:36.980000,Catalog
546198,35022,,561.7400,46.6700,23,2012-11-30 10:45:26, 
546211,351144807,,633.4400,10.4200,16,2013-12-17 19:13:14.563000,
546244,36109,,942.2200,36.2200,24,2013-12-16 12:48:37.820000,Friend
546250,38469-2342,,4482.7300,557.1500,51,2016-08-12 17:36:23.777000,
546254,39422,,375.6800,69.9800,8,2015-01-15 11:52:27,
546257,36265,,396.0400,0.0000,6,2014-01-24 10:21:47.753000,
546261,641371535,,5851.3097,1553.7770,138,2020-09-08 09:32:22,Friend
546264,35115,,877.2900,124.8000,39,2016-07-21 14:15:21,Catalog
546298,35043,,4846.3600,672.9800,13,2014-03-14 12:29:40,Friend
546302,36207-6924,,4491.6300,620.1000,64,2019-05-02 12:48:44.030000, 
